Location,Burrito,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes,Lat,Lng
Rigoberto's Taco Shop,Carne asada,Miramar,7094 Miramar Rd,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,,6.6,3.5,4,2,4,3.5,4.5,4,3.5,4,1,4.25,Ricardo,,32.8798199,-117.1616766
Rigoberto's Taco Shop,Campeon,,,,,,,7.65,3.5,3,1.5,3,3,2.5,3,3.5,2.5,4,3.4,Scott,,32.8798199,-117.1616766
Raul's Mexican food,Chile verde pork,Encinitas,490 S Coast Hwy 101,https://www.yelp.com/biz/rauls-shack-encinitas,4,4.2,,5,3.5,2,,2.5,2,2,2,2,2.5,,2,Emily,,33.0461712,-117.2941785
Raul's Mexican food,carne asada,,,,,,,5,1,2,,1,1,0.5,1,1.5,1,4,1,Scott,burrito was mostly tortilla,33.0461712,-117.2941785
El Zarape,California,University Heights,4642 Park Blvd,https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,x,6.25,0.5,3,5,4,2.75,4,1.6,3.5,3.4,5,3.33333,Kelsey,,32.7618065,-117.1464549
El Zarape,California chicken,,,,,,,6.25,3,3.5,5,2.5,2.5,4,2.7,3.5,3,5,2.5,Sage,,32.7618065,-117.1464549
El Zarape,Azteca,,,,,,,6.25,3.75,3,5,5,4.5,4,4,1.5,3,5,3,Jake,,32.7618065,-117.1464549
El Zarape,Lobster,,,,,,,9.5,3,3,3,4,3,3.5,4.5,3.5,3,3.5,3.2,Scott,quite small,32.7618065,-117.1464549
El Indio,California,San Diego,3695 India St,http://elindiosandiego.com/,3.5,3.9,,7.84,4,4,4,3.5,4,4.5,4,3.5,3.5,4.5,4,Scott,,32.7423252,-117.180125
Taco stand,Carne asada,,,,,,,7.89,1,3,3.5,4.5,4,5,5,4.5,3.5,5,4.2,Scott,,32.7423252,-117.180125
Taco stand,Al pastor,,,,,,,6.99,4,4,3,3.5,3,4,5,3,3.5,5,3.5,Emily,Kind of dry ,32.7423252,-117.180125
"Qdoba Mexican Grill, Seatac Airport",Custom,Seattle,Airport,,,,,9.5,5,3,3,3.5,3,4,1,3,2.5,5,3,Sage,,32.7338006,-117.1933038
Cancun Mexican & Seafood,California,Encinitas,1766 N Coast Hwy,http://cancunmexicanandseafood.com/,4.5,4.1,x,6.99,4,4,4.5,4,3.5,4,2.5,2,4,4,4.2,Scott,A bit small,33.2092591,-117.3882149
Cancun Mexican & Seafood,Machaca,,,,,,,5.99,3,4,3.5,3.5,4,3.5,3.5,2,3.5,0.5,3.9,Emily,So hot! Egg is surprisingly good,33.2092591,-117.3882149
Vallarta express,Quesaburro,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,3.5,4,,6.95,3.5,3,4,3.5,4,4,4,3.5,4.5,4.5,4.1,Scott,,32.8213737,-117.1826061
Vallarta express,Philly ,,,,,,,6.95,4,3,4.5,4,3,3,2,4,2,4.5,3,Torben,Guac chips have lots of cheese,32.8213737,-117.1826061
Vallarta express,Carne asada,,,,,,,6.5,3.5,3.75,5,3,3,4.5,4.5,3.5,3,4.5,3.25,Ricardo,,32.8213737,-117.1826061
Vallarta express,Quesa,,,,,,,6.95,4.5,2,5,3.5,4,2.5,5,3.5,2.5,4,3.75,Alex,Heart-stopping amount of cheese. Second tortilla of cheese,32.8213737,-117.1826061
Vallarta express,Surf and turf,,,,,,,7.65,3,2,4,3,3,4,2,4,2,3,3.5,Richard,Hot carrots,32.8213737,-117.1826061
Vallarta express,Mahi,,,,,,,7.3,3,3,4.5,3.5,3,3,2,3.5,2.5,4.5,3.5,Tom,,32.8213737,-117.1826061
Mikes Taco Club,California,Ocean Beach,5060 Newport Ave,http://www.mikestacoclub.com/menu/,4.5,4.9,,8.59,2.5,4,4.5,3.5,5,2.5,2,4,4.5,4,4.3,Scott,,32.7476247,-117.252021
Mikes Taco Club,California,,,,,,,8.59,3.5,4.5,4.5,4,4.5,4,4,4,4.5,5,4.5,Brad,,32.7476247,-117.252021
La Perla Cocina,Addiction,Pacific Beach,745 Emerald St,https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,4.5,4.7,,7.99,3.5,4,4,2,3,1.5,3,2.5,1,3,2.5,Scott,Bland,32.7981316,-117.2563707
La Perla Cocina,Oaxacalifornia,,,,,,,9.99,3,4,4.5,3.5,4,3,2,2.5,3.5,4,4,Emily,Fries are good,32.7981316,-117.2563707
Porkyland ,Deborah's special,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,4,4.4,x,8.25,3.5,4,4.5,3.5,2.5,4.5,4.5,4,3.5,5,4,Scott,,32.9203273,-117.2140079
Porkyland ,Chicken nopalito,,,,,,,7.95,2.5,2.5,2.5,4,3.5,3,2.5,3,3,5,3.3,Emily,,32.9203273,-117.2140079
Porkyland ,Chicken nopalito,,,,,,,7.95,2,4,5,4,4,3,5,3,3,5,4,Tara,,32.9203273,-117.2140079
Porkyland ,California,,,,,,,8.75,3,4,5,3,5,3,2,4,3,5,4,Andy,,32.9203273,-117.2140079
Rigoberto's Taco Shop,California ,,,,,,,6.6,3,3,4.5,4,4.5,4,4.5,4.5,5,4.5,4.5,Scott,,32.9203273,-117.2140079
Rigoberto's Taco Shop,Adobada,,,,,,,6.6,3,4,5,5,5,5,4,,4.5,5,4.5,Tara,,32.9203273,-117.2140079
Rigoberto's Taco Shop,California,,,,,,,6.6,3,3,5,3.5,3,4.5,2.5,3,4,4,3.6,Scott,Too much enchilada sauce this time,32.9203273,-117.2140079
Rigoberto's Taco Shop,Surf & Turf,,,,,,,7.45,3.5,3,5,3.5,2.5,3,2.5,3.75,3,4,3,Bankole,Would have enjoyed it more if wasn't rating; shrimp better than meat. Quality of the shrimp really improves the burrito. Well cooked and fresh. Shrimp could have had more flavor,32.9203273,-117.2140079
Rudy's Taco Shop,Chicken,Solana Beach,524 Stevens Ave,http://www.rudystacoshop.com/,4,4.3,,6.6,3.5,3.5,3,4,4.5,3,1,3,4,0.5,2.8,Scott,"Salsa Fresca is good, way too small",32.9903956,-117.2605899
Rudy's Taco Shop,Carnitas,,,,,,,6.6,3,3,2.5,3,4,2,1,3,3,5,3,Emily,,32.9903956,-117.2605899
Taco stand,Carne asada,,,,,,,7.89,3.5,3,2,4.5,4,4,1.5,4.5,4.5,4.5,4.4,Scott,Too small ,32.9903956,-117.2605899
Taco stand,Carne asada,,,,,,,7.89,2,3,2.5,4.5,3.5,4.5,3,4,3.5,5,3.5,Richard,A little small. No rice and beans or cheese or sour cream,32.9903956,-117.2605899
California Burritos,California Everything,Linda Vista,7754 Starling Dr,https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,x,6.25,4,4.5,4.5,2.5,3.5,3.5,3.5,3,4,5,4.1,Scott,,32.793464,-117.1560493
California Burritos,California Everything,,,,,,,6.25,3.5,4,4,4,2.5,3,3.5,4,4,5,4,Brent,Brent doesn't like fries in his burrito,32.793464,-117.1560493
California Burritos,California Everything,,,,,,,6.25,4,4,4.5,4.5,5,5,5,4.5,5,5,4.6,Luis,,32.793464,-117.1560493
California Burritos,Chile relleno and carnitas,,,,,,,6.5,5,4.5,5,5,5,5,4,4,5,5,4.7,Karl,,32.793464,-117.1560493
California Burritos,California (only cheese),,,,,,,6.25,2,5,5,5,4,4,2,,5,5,5,Kalen,,32.793464,-117.1560493
Vallarta express,Fish,,,,,,,6.5,2.5,3,,3.5,4,4,3,,4,1.5,3.5,Erin,,32.793464,-117.1560493
Vallarta express,California,,,,,,,6.65,3.5,3.5,,3.5,3.5,4.5,3.5,3.5,4,4,4,Ricardo,,32.793464,-117.1560493
Jorge's Mexicatessen,California ,Encinitas ,267 N El Camino Real,https://www.yelp.com/biz/jorges-mexicatessen-encinitas,4,4.5,,5.95,3.5,2.5,2.5,3.5,4,3,4.5,4,4.5,4.5,3.8,Scott,"Cheese should be melted, potatoes are very good",37.3689053,-122.0347776
Jorge's Mexicatessen,Chimichanga beef,,,,,,,5.5,3,2,4,3,3,3,4,3.5,3.5,,3,Emily,,37.3689053,-122.0347776
Senor Grubby's,California,Carlsbad,377 Carlsbad Village Dr,eatgrubbys.com,4,4.1,,9,2,2,3.5,3,1.5,1,1,2.5,1.5,3.5,1.5,Scott,"The ends of the burrito were decent, but the middle was terrible without much meat",33.1586417,-117.3499185
Senor Grubby's,Pastor,,,,,,,9,2,2.5,2.5,1.5,2.5,1,2,2.5,2,5,1.8,Emily,,33.1586417,-117.3499185
Taco stand,California,,,,,,,8,4,4.5,5,5,5,4.5,5,3,5,5,4.9,Sage,A wonderful eating experience. best California burrito I've ever had by far. ,33.1586417,-117.3499185
Mi Asador Mexican & Seafood ,California ,Oceanside,4750 Oceanside Blvd,https://sites.google.com/site/miasador/,4.5,4.4,x,6.89,3,3,2.5,3,2.5,2.5,2,3.5,3,4,3,Scott,,33.2165079,-117.2718828
Mi Asador Mexican & Seafood ,El Hawaiiano ,,,,,,,6.39,3,4,3,2.5,3.5,3,3,3.5,4,3.5,3.5,Emily,Pineapple is really good,33.2165079,-117.2718828
Sotos Mexican Food,California,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,4.5,4.6,x,6.75,3,4.5,4,3,4,1,3,4.5,3.5,4.5,3.5,Scott,Fries are good. Too little meat,32.8791407,-117.1673854
Sotos Mexican Food,Pastor,,,,,,,5.99,2,4,2,2.5,4,4,3,3.5,4,5,3.2,Emily,Free lime. Ingredients chopped finely,32.8791407,-117.1673854
Taco stand,California,,,,,,,7.49,3.5,3.5,4,4,4,3.5,3,4,4.5,3,4.2,Scott,Less meat than usual,32.8791407,-117.1673854
Taco stand,California,,,,,,,7.49,4,4,3.5,4,4,4.5,5,4.5,5,4.5,4.5,Ricardo,,32.8791407,-117.1673854
Taco stand,California,,,,,,,7.49,4,3,3,4,3.5,3.5,4,3.5,4,2.5,3.7,Luis,,32.8791407,-117.1673854
Taco stand,California,,,,,,,7.49,3,4,2,5,5,1,3,5,4,3,4,Elynn,,32.8791407,-117.1673854
Taco stand,California,,,,,,,7.49,1,4,3,4,4.5,5,4.5,3,4.5,4,4,Sandra,,32.8791407,-117.1673854
Taco stand,Carne asada,,,,,,,7.89,4,4,2,4,3,4,4,4,3.5,4,3.5,Brent,,32.8791407,-117.1673854
Taco stand,Shrimp,,,,,,,8.95,5,4,4,5,5,5,4,5,5,5,5,Sankeerth,,32.8791407,-117.1673854
Vallarta express,California,,,,,,,6.95,4,3,3.5,2,3.5,3,2.5,2.5,2.5,2,2.9,Scott,,32.8791407,-117.1673854
Lolita's taco shop,California,,,,,,,7,3.5,3,5,3,3.5,3,1.5,3,3,4,3.3,Scott,,32.8791407,-117.1673854
Lolita's taco shop,2 in 1,,,,,,,8.75,3,3,4,2.7,4.7,3,2.4,2,3.7,4.5,3.7,Bankole,,32.8791407,-117.1673854
Lolita's taco shop,2 in 1,,,,,,,8.75,4,4.5,3.8,3.8,4.5,3.4,1.5,3,3.8,4,3.8,Katie,,32.8791407,-117.1673854
Rigoberto's Taco Shop,El Rusio,,,,,,,6.65,4,3,4.5,2.5,2,3.5,5,1.5,2,1.5,2.5,Scott,Fries are terrible. Burrito leaked,32.8791407,-117.1673854
Rigoberto's Taco Shop,Carne asada,,,,,,,6.6,4,4,3.5,4,4,3.5,4,4,4.5,4.5,4,Ricardo,,32.8791407,-117.1673854
Rigoberto's Taco Shop,Carne asada,,,,,,,6.6,4.5,4,3,3,3,3.5,3,,3.5,4.5,3,Erin,Meat was too salty,32.8791407,-117.1673854
Rigoberto's Taco Shop,Carnitas,,,,,,,7.5,4,4,5,4,5,5,4,5,4,4,4,Elynn,,32.8791407,-117.1673854
Rigoberto's Taco Shop,Bacon breakfast,,,,,,,6.25,3.5,4,3.5,4,4,5,5,,5,4.5,4.2,Luis,,32.8791407,-117.1673854
Rigoberto's Taco Shop,Chile Relleno,,,,,,,6.6,5,5,4,,5,5,4,,5,3,4.5,Matteo,,32.8791407,-117.1673854
Rigoberto's Taco Shop,Fish,,,,,,,6,2,5,4.5,5,5,5,5,,5,4,5,Aga,,32.8791407,-117.1673854
Karina's Taco Shop ,Bomb,Encinitas ,916 N Coast Hwy 101,https://www.yelp.com/biz/karinas-taco-shop-encinitas,4,4.2,,7.99,3,4,4,4,3.5,2.5,3.5,4,3.5,2.5,3.7,Scott,,33.0647964,-117.3026313
Karina's Taco Shop ,California ,,,,,,,6.99,2.5,3.5,4,3.5,3.5,3,1,4,4,4.5,3.8,Emily,,33.0647964,-117.3026313
Juanita's Taco Shop,California ,Encinitas ,290 N Coast Hwy 101,https://www.yelp.com/biz/juanitas-taco-shop-encinitas,4,4.5,,5.55,3.5,4,4.5,3,3,5,3,4,3,5,3.5,Scott,,33.054223,-117.2969337
Juanita's Taco Shop,Arizona,,,,,,,5.55,2.5,4.5,4,3.5,4,3.5,4,3,4,5,3.9,Emily,,33.054223,-117.2969337
Goody's,Custom,La Jolla,Marshall College,https://www.yelp.com/biz/goodys-place-and-market-la-jolla,3.5,4.1,,7.25,3.5,1.5,1,2,2,2,2,2,2,1,1.8,Scott,Grocery store tortilla; cold guac,32.8815966,-117.2410056
Pedro's Tacos,California Burrito,Oceanside,,,,,,6.5,5,3,,4,5,4,4,,5,5,5,Erika N,,32.8815966,-117.2410056
Los Primos Mexican Food,619 Burrito Original,,,,,,x,11.75,4,3,,4,5,4,4,5,4,3,4,Sai G,,32.8815966,-117.2410056
Kotija Jr.,Fish,,,,,,,6.5,4,3,,4,4,5,4,4,5,4,5,Jonathan G,Great fish burrito. Not fishy and has great crunch from both cabbage and fried fish. Super generous with amount of fish given,32.8815966,-117.2410056
La Perla Cocina,California,,,,,,,6.5,5,4,,4,4,5,4,4,4,5,4,Laya,A LOT of carne asada!,32.8815966,-117.2410056
Goody's,Custom,La Jolla,,,,,,8,4,3,,2,3,2,3,2,3,2,2,Albert N,"The price has gone up for the past two years. I would probably rate this lower because of it, but my scores were on raw taste only.",32.8815966,-117.2410056
Goody's,Custom,La Jolla,,,,,,8,3,3,,1,2,2,2,2,2,1,2,Brittany T,It's gone downhill since 2013. Expensive and only ate it because there's nothing else around. closes early. skimping on the portions.,32.8815966,-117.2410056
Chipotle,Custom,,,,,,,7,3.5,3,,5,3,3,4,4,4,4,4,Gurkirat S,,32.8815966,-117.2410056
Rigoberto's Taco Shop,Al pastor,,,,,,,,4,5,,5,5,5,4,5,5,5,4.8,Erica,,32.8815966,-117.2410056
Taco Surf PB,California,Pacific Beach,4657 Mission Blvd,https://www.yelp.com/biz/taco-surf-taco-shop-san-diego,4,4.6,,7.14,3.5,4,2,4,5,4,2,4,4.5,5,4.4,Scott,not too much rice,32.7988776,-117.2560148
Taco Surf PB,California,,,,,,,7.14,5,4,2,4.5,4,3.5,2,3,4,4,4.1,Sage,hashbrowns instead of fries; anterior-posterior uniformity is good but medial-lateral is bad,32.7988776,-117.2560148
Taco Surf PB,Carne asada,,,,,,,6.02,3.2,4.5,2,3.3,3.4,4.5,4.5,3.8,3.7,5,3.7,Dan,one hot side and one cold side from the guac,32.7988776,-117.2560148
Roberto's Very Mexican Food,Chicken asada,Del Mar,2206 Carmel Valley Road,https://www.yelp.com/biz/robertos-very-mexican-food-del-mar-2,3.5,3.9,,6.5,2,1.5,4,2,2,4.5,1,1,2,5,1.5,Scott,,32.9342398,-117.2551306
Roberto's Very Mexican Food,Carnitas,,,,,,,5.4,3,2,3.5,4,2.5,3.5,1.5,1.5,3,5,2.7,Emily,,32.9342398,-117.2551306
Netos Mexican Food,California ,San Marcos,325 S Rancho Santa Fe Rd,https://www.yelp.com/biz/netos-mexican-food-san-marcos,4.5,4.1,x,5.99,4,4.5,5,3,4,2,2,2,3.75,4,3.2,Scott,not 100% certain about the ingredients (was there guac and pico?),33.1422262,-117.2013389
Netos Mexican Food,Carne adobada ,,,,,,,5.5,3,3.5,4,3.5,3,3.5,3.5,2.5,3,2.5,3,Emily,"Best free chips, novel burrito",33.1422262,-117.2013389
Lolita's Taco shop,Carne asada,,,,,,,6.25,4,1.5,2.5,3,4.5,4,2,2.75,3.75,3,2.6,Scott,Way too small,33.1422262,-117.2013389
Lolita's Taco shop,Shrimp,,,,,,,8.95,3.5,3,3,4,4,3.5,3.5,2.5,4,0.5,3,Emily,,33.1422262,-117.2013389
Lolita's Taco shop,Bean and cheese,,,,,,,3.5,1,3.5,4.5,,3,,4,3,2.5,4,2.7,Scott,,33.1422262,-117.2013389
Pokirrito,Pokirrito classic ,Kearny Mesa,4646 Convoy St,https://www.yelp.com/biz/pokirrito-san-diego-2,4,4.3,x,11.95,4,3.5,4,4,4.5,2.5,2.5,3,4,2,4.2,Scott,Lotus chips add good crunch,32.8248571,-117.1559327
Pokirrito,Mauna Lani,,,,,,,11.95,3,3,4,4,4,3,2.5,4.5,4,1.5,4,Emily,,32.8248571,-117.1559327
Los Primos Mexican Food,California,,,,,,,7.5,4,3,5,3.5,3.5,4,4,2.5,3,5,3.5,Sage,,32.8248571,-117.1559327
El Nopalito ,Especial ,Encinitas,582 Santa Fe Dr,https://www.yelp.com/biz/el-nopalito-encinitas,4,4,x,4.87,2,3,4,1.5,2,3,5,3,2.5,5,2.6,Scott,"It's pretty good for what it is, but just not the best ingredients for a burrito. also Few white people",33.0367532,-117.2796615
El Nopalito ,Ranchero steak,,,,,,,4.87,2.5,3.5,3,2.5,2.4,3.5,4.5,3,3,1.5,2.6,Emily,,33.0367532,-117.2796615
Goody's,Carne Asada,,,,,,,6.25,4.5,3.5,3,2,2,2.5,3,2,1.5,1,2,Kevin,"Sucks, but it is okay.",33.0367532,-117.2796615
Saguaro's ,Vegetarian,,,,,,,5.25,4,4,5,,5,4,4,5,5,5,4.8,Brian,"Great rice and beans burrito, doesn't come with cheese or sour cream. ",33.0367532,-117.2796615
Colima's ,Colimas burrito,,,,,,x,8.25,4,5,5,5,5,5,5,,5,4.5,4.9,Brian,,33.0367532,-117.2796615
"Alberto's 623 N Escondido Blvd, Escondido, CA 92025",Carne Asada,,,,,,,4.59,4,4,4,5,5,5,5,5,5,4,4.8,Chuck K,,33.0367532,-117.2796615
MXN on Washington,Bean and rice grande size,,,,,,,2.99,3,4.5,3.5,,4.5,,3.5,3,4,4,4.5,Sarah,Got green and hot salsa put inside the burrito-drive thru,33.0367532,-117.2796615
El Zarape,Surf and Turf,,,,,,,7,2.5,5,5,5,5,5,5,5,5,5,5,Damien B,Get the green sauce,33.0367532,-117.2796615
Lolita's,Bean and Cheese,,,,,,,,4.3,3.8,4,,4.7,,5,,4.7,5,4.8,,,33.0367532,-117.2796615
Humbertos,Pollo california,,,,,,,6,5,4,5,5,5,5,4,5,5,5,5,Logan,,33.0367532,-117.2796615
Chili Peppers,Surf & Turf,,,,,,,9.43,,4,5,5,5,5,5,5,5,5,5,Chris H,,33.0367532,-117.2796615
Los Primos Mexican Food,Monster California,,,,,,,9.25,3.5,2,1,3,3,1,,3,2,4,2.3,Scott,,33.0367532,-117.2796615
Los Primos Mexican Food,California,,,,,,,7,3,4.5,4,3.5,4,1,1,2,2,4,2.5,Ricardo,,33.0367532,-117.2796615
Los Primos Mexican Food,California breakfast,,,,,,,6.25,2.5,3,4,3,2,1.5,1,3,1.5,3,2,Erin,,33.0367532,-117.2796615
Los Primos Mexican Food,Baja monster,,,,,,,6,4,3,3,1,4,2,2,3,2,1,2,Elynn,,33.0367532,-117.2796615
Los Primos Mexican Food,Baja monster,,,,,,,6,3,4,3.5,4,4,2,4,4,4,3,3.8,Rob,,33.0367532,-117.2796615
Los Primos Mexican Food,Carnitas,,,,,,,6.35,4.5,4,4,2.5,2,3,2,2,2,3,2,Matteo,,33.0367532,-117.2796615
Los tacos ,Local,Oceanside,2183 Vista Way,https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,,7.9,3.5,3.5,4.5,4.5,4,1.5,1.5,3,4,5,3.5,Scott,,33.182633,-117.3409135
Los tacos ,Fusion,,,,,,,8.5,3.5,4,4,4,3.5,4,4,4,4.5,4.5,4.2,Emily,,33.182633,-117.3409135
Taco Stand,Al pastor,,,,,,,6.99,3.5,4,3.5,4,3.5,4,5,2.5,4,4.5,3.9,Scott,,33.182633,-117.3409135
Taco Stand,Al pastor,,,,,,,6.99,5,4,4,4,4,2,3,3,4,3,3.5,Brad P,,33.182633,-117.3409135
Albertacos,California ,San Marcos,500 W San Marcos Blvd # 103,https://www.yelp.com/biz/albertacos-san-marcos,3.5,3.9,,5.7,3.5,3.5,3,3,4,1.5,4,4,4,4,3.7,Scott,,33.1395266,-117.1721626
Albertacos,Carne asada,,,,,,,5.25,4,3.5,3,2.8,3.5,4,4,4,3.5,5,3.2,Emily,,33.1395266,-117.1721626
El Rey Moro,California Surf,Clairemont,4471 Clairemont Mesa Blvd,https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego,4,3.8,,9.19,2.8,3.5,4.5,4,3.5,5,4.5,3,3.5,5,4,Scott,shrimp is really good. too much chipotle sauce,32.8338051,-117.1955713
Tacos por favor,Carne asada,Santa Monica,1408 Olympic Blvd,https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4,4.1,x,7.85,3,3,4.5,4.5,3.5,3.5,3.5,1,4,1,3.5,Scott,,32.7520904,-117.0698457
