Location,URL,overall,Yelp,Google,Lat,Lng,Cost,Hunger,Tortilla,Temp,Uniformity,Synergy,Wrap
Donato's Taco Shop,http://donatostacoshop.net/,3,3.5,4.2,33.0440809,-117.293903,5.99,4,3,4.5,4.5,2.3,4.5
Los Cabos,https://www.yelp.com/biz/los-cabos-san-marcos,4,4,4.1,33.1467401,-117.1991346,5.69,3,4,4.5,3.5,4,4.5
Rigoberto's Taco Shop,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-14,4.8,4,4.4,32.8815966,-117.2410056,,4,5,2,4,5,5
Taco Stand,http://letstaco.com/,4.5,4,4.4,33.1297433,-117.2668654,6.99,4,4.5,4,4.5,5,4
Taco Villa,https://www.yelp.com/biz/taco-villa-san-diego,4,4,3.5,32.8788215,-117.1668915,,4.5,3,4,4,4,3
Taco stand,http://letstaco.com/,3.5,4,4.4,32.7423252,-117.180125,6.99,4,4,3,5,3.5,5
Tacos por favor,https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4,4,4.1,32.7520904,-117.0698457,6.85,4,3,5,4,4,3
